titre,slug,categorie,est_urgent,territoires,departements,audiences,situations_vie,mots_cles,statut,summary_falc,cest_quoi,pour_qui,montant_falc
"Aide financière - Secours Catholique Alsace","secours-catholique-alsace",budget,true,Alsace,67|68,tous,precarite|urgence,argent|secours|catholique,publie,"Une aide d'urgence pour payer des factures ou manger.","Le Secours Catholique peut vous aider si vous avez un coup dur financier.","Pour les personnes seules ou les familles avec de très petits revenus.",Jusqu'à 150€ selon la situation
"Solidarité Transport - Bas-Rhin","solidarite-transport-67",mobilite,false,Bas-Rhin,67,seniors|handicap,isolement,transport|bus|train,publie,"Réduction sur le prix des bus et trains dans le 67.","Une carte pour payer moins cher les voyages en car ou en train.","Pour les personnes avec de petits revenus habitant dans le Bas-Rhin.",Réduction de 80% sur les billets
"Fonds d'Aide aux Jeunes (FAJ) Strasbourg","faj-strasbourg",budget,true,Strasbourg,67,jeunes,precarite,jeunes|argent|insertion,publie,"Aide pour les jeunes de 18 à 25 ans en difficulté.","De l'argent pour aider les jeunes à se loger ou à s'habiller pour un travail.","Pour les 18-25 ans sans ressources suffisantes.",Variable selon le projet
"Aide au chauffage - Ville de Mulhouse","aide-chauffage-mulhouse",logement,false,Mulhouse,68,seniors,precarite,chauffage|hiver|energie,publie,"Une prime pour aider à payer les factures de chauffage.","La mairie de Mulhouse donne une somme d'argent pour l'hiver.","Pour les retraités de Mulhouse avec de petites retraites.",Environ 100€ par an
"Distribution alimentaire - Restos du Coeur 68","restos-du-coeur-68",budget,true,Haut-Rhin,68,tous,faim|precarite,repas|nourriture|faim,publie,"Des repas gratuits et des colis alimentaires.","Les Restos du Coeur donnent à manger à ceux qui n'ont rien.","Pour toute personne n'ayant pas assez d'argent pour manger.",Colis alimentaires hebdomadaires
"Pass'Sport Culture - Haguenau","pass-sport-culture-haguenau",famille,false,Haguenau,67,jeunes,loisirs,sport|culture|jeunes,publie,"Aide pour payer le sport ou la culture à Haguenau.","Un chéquier pour faire du sport ou aller au cinéma moins cher.","Pour les jeunes de Haguenau.",60€ de coupons
"Aide aux vacances (VACAF) - CAF Haut-Rhin","vacaf-caf-68",famille,false,Haut-Rhin,68,familles,vacances,camping|vacances|enfants,publie,"Aide pour partir en vacances en famille.","La CAF paye une partie de votre séjour en camping ou club.","Pour les familles avec enfants allocataires de la CAF 68.",Jusqu'à 50% du prix
"Secours d'urgence - Croix-Rouge Colmar","croix-rouge-colmar",budget,true,Colmar,68,tous,urgence|froid,croix-rouge|urgence|vestiaire,publie,"Aide immédiate : nourriture et vêtements.","La Croix-Rouge vous accueille si vous êtes à la rue ou sans rien.","Pour toute personne en situation d'urgence.",Aide immédiate et accueil
"Bourse départementale - Conseil Rhénan","bourse-rhenane",emploi,false,Alsace,67|68,etudiants,etudes,bourse|ecole|argent,publie,"Prime pour les étudiants faisant un stage en Allemagne.","De l'argent pour aider les jeunes qui traversent la frontière.","Pour les étudiants alsaciens.",500€ une fois
"Aide au permis B - Mission Locale Molsheim","permis-mission-locale-molsheim",mobilite,false,Molsheim,67,jeunes,travail,voiture|permis|travail,publie,"Aide pour payer son permis de conduire.","La Mission Locale finance une partie de vos leçons de conduite.","Pour les jeunes de 16 à 25 ans inscrits à la Mission Locale.",Jusqu'à 800€
"Allocation Personnalisée d'Autonomie (APA) - CeA","apa-alsace",vieillissement,false,Alsace,67|68,seniors,vieillissement,personnes-agees|aide-a-domicile,publie,"De l'argent pour payer une aide à domicile.","La Collectivité européenne d'Alsace vous aide à rester chez vous.","Pour les plus de 60 ans qui ont besoin d'aide pour se laver ou manger.",Selon le degré de dépendance
"Mutuelle Solidaire - Ville de Schiltigheim","mutuelle-solidaire-schiltigheim",sante,false,Schiltigheim,67,tous,sante,medecin|mutuelle|dentiste,publie,"Une mutuelle moins chère pour tous.","La ville a négocié un prix bas pour une complémentaire santé.","Pour tous les habitants de Schiltigheim.",Prix réduit garanti
"Accompagnement numérique - Emmaüs Connect Strasbourg","emmaus-connect-strasbourg",numerique,false,Strasbourg,67,tous,fracture-numerique,ordinateur|internet|formation,publie,"Vente de matériel et cours d'informatique.","Du matériel à bas prix et des gens pour vous apprendre à cliquer.","Pour les personnes en difficulté financière et sociale.",PC à partir de 50€
"Micro-crédit social - ADIE Alsace","microcredit-adie-alsace",budget,false,Alsace,67|68,entrepreneurs,emploi,pret|argent|entreprise,publie,"Un prêt pour créer son entreprise ou réparer sa voiture.","L'ADIE vous prête de l'argent quand la banque refuse.","Pour ceux qui veulent travailler ou créer leur emploi.",Jusqu'à 5000€
"Soutien psychologique - APS Grand Est","psy-aps-grand-est",sante,true,Alsace,67|68,tous,souffrance,psychologue|ecoute|mental,publie,"Des séances gratuites avec un psychologue.","Parler à quelqu'un gratuitement quand on ne va pas bien.","Pour les personnes sans mutuelle ou en grande difficulté.",10 séances remboursées
